id,species,altura_aerea_cm,comp_raiz_cm,f_pesofresco,f_pesofresco_peciolo,f_pesofresco_sla,f_pesofresco_peciolo_SLA,t_pesofresco,t_pesofresco_vol,t_pesofresco_casca_vol,t_volume,r_presofresco,r_pesofrescoSRL_sup,pesofresco_SRL_inf,r_pesofresco_vol,r_pesofresco_casca_vol,r_volume,r_pesofresco_bioq,r_reserva,t_pesoseco,r_pesoseco,t_pesoseco_casca_vol,t_pesoseco_vol,r_pesoseco_casca_vol,r_pesoseco_vol,t_pesoenxarcado_casca_vol,t_pesoenxarcado_vol,r_pesoenxarcado_casca_vol,r_pesoenxarcado_vol,f_pesoseco,f_pesoseco_peciolo,f_pesoseco_sla,f_pesoseco_peciolo_SLA,r_pesosecoSRL_sup,pesoseco_SRL_inf,f_areaumida,f_areaumida_pec,r_areaumidasup,f_peso_fresco,f_fresco_peciolo,f_fresco_total,f_peso_seco,f_biomassa,f_seco_peciolo,f_seco_total,SLA,LA,t_peso_fresco,t_peso_seco,t_capac_arm_casca,t_capac_arm_lenho,t_dens,r_peso_fresco,r_peso_seco,r_capac_arm_casca,r_capac_arm_lenho,r_dens,SRA
sp14,cumaru,69,68,4.74,0.15,2.47,0.08,10.24,1.1,0.57,0.93,62.12,0.9,1.39,0.11,0.19,0.11,1.16,n,4.6,18.2,0.122,0.537,0.0227,0.0233,0.39,1.05,0.155,0.1037,1.26,0.04,0.68,0.02,0.23,0.14,180.704,NA,44.736,7.21,0.23,7.44,1.94,0.226666667,0.06,2,26.57411765,6023.466667,11.91,5.259,2.196721311,0.955307263,0.577419355,65.87,18.616,5.828193833,3.450643777,0.211818182,19.45043478
sp15,cumaru,98,77,15.35,0.43,3.34,0.11,20.8,1.5,0.62,1.26,108.12,1.14,1.84,0.36,0.94,0.3,1.33,n,8.64,25.73,0.109,0.676,0.0355,0.0998,0.43,1.41,0.3237,0.3064,3.37,0.11,0.79,0.03,0.27,0.32,235.466,NA,32.502,18.69,0.54,19.23,4.16,0.263333333,0.14,4.3,29.80582278,7848.866667,22.92,9.425,2.944954128,1.085798817,0.536507937,113.73,26.4553,8.118309859,2.070140281,0.332666667,12.03777778
sp16,mororo,62,104,9.23,0.93,2.78,0.19,17.4,0.88,8.4,8.71,62.47,0.55,1.6,0.34,0.58,0.26,1.59,n,9.94,18.84,0.142,0.543,0.1654,0.1978,0.41,0.91,0.579,0.3467,3.07,0.28,1.01,0.05,0.16,0.39,228.466,NA,17.56,12.01,1.12,13.13,4.08,0.336666667,0.33,4.41,22.62039604,7615.533333,26.68,10.625,1.887323944,0.67587477,0.062342135,67.13,19.7532,2.500604595,0.752780586,0.760769231,10.975
sp17,mororo,39.5,100,4.09,0.31,1.59,0.06,2.79,0.27,0.24,0.2,14.08,0.35,1.11,0.78,0.75,0.65,1.08,n,2.9,0.42,0.062,0.155,0.2115,0.4045,0.26,0.27,0.8679,0.751,1.18,0.09,0.53,0.02,0.09,0.2,168.679,NA,17.276,5.68,0.37,6.05,1.71,0.176666667,0.11,1.82,31.82622642,5622.633333,3.3,3.117,3.193548387,0.741935484,0.775,18.15,1.326,3.103546099,0.856613103,0.622307692,19.19555556
sp18,mororo,53,114,16.18,1.16,2.84,1.19,6.27,0.28,0.22,0.21,42.68,1.65,2.17,0.42,1.05,0.33,1.82,n,1.75,7.08,0.061,0.162,0.2815,0.2235,0.23,0.3,0.9771,0.4026,4.62,0.31,0.82,0.05,0.44,0.45,311.343,NA,37.732,19.02,2.35,21.37,5.44,0.273333333,0.36,5.8,37.96865854,10378.1,6.77,1.973,2.770491803,0.851851852,0.771428571,49.79,8.475,2.471047957,0.801342282,0.677272727,8.575454545
sp19,mororo,19,65,1.58,0.1,0.72,0.04,1.25,0.16,0.18,0.12,2.29,0.58,0.85,0.11,0.34,0.08,1.12,n,3.16,2.96,0.061,0.107,0.1076,0.0584,0.2,0.19,0.4121,0.1105,0.57,0.03,0.28,0.02,0.2,0.11,98.868,NA,37.254,2.3,0.14,2.44,0.85,0.093333333,0.05,0.9,35.31,3295.6,1.59,3.328,2.278688525,0.775700935,0.891666667,5.29,3.436,2.829925651,0.892123288,0.73,18.627
sp20,mororo,67,119,15.74,1.3,3.41,0.26,16.62,0.63,0.35,0.54,48.85,0.41,1.33,0.3,0.48,0.23,1.73,n,4.07,12.05,0.122,0.394,0.1246,0.1241,0.39,0.66,0.3755,0.269,5.1,0.4,1.21,0.08,0.14,0.2,247.187,NA,24.996,19.15,1.56,20.71,6.31,0.403333333,0.48,6.79,20.42867769,8239.566667,17.6,4.586,2.196721311,0.675126904,0.72962963,53.1,12.6387,2.01364366,1.167606769,0.539565217,17.85428571
sp21,feijao,84,72,1.01,0,0.77,0.02,4.22,0.42,0.19,0.36,10.83,0.65,0.54,0.89,0.28,0.76,1,n,1.61,3.55,0.043,0.212,0.0597,0.3785,0.12,0.4,0.2621,0.8142,0.32,0,0.29,0,0.17,0.12,30.468,NA,58.961,1.78,0.02,1.8,0.61,0.096666667,0,0.61,10.5062069,1015.6,4.83,1.865,1.790697674,0.886792453,0.588888889,14.19,4.2782,3.390284757,1.151122853,0.498026316,34.68294118
sp22,feijao,19.5,95.5,2.42,0,1.04,0,1.91,0.24,0.1,0.2,9.55,0.42,0.48,0.25,0.12,0.18,1.04,n,0.34,2.77,0.034,0.123,0.0236,0.1138,0.12,0.23,0.1183,0.2344,0.96,0,0.42,0,0.12,0.1,44.062,NA,43.607,3.46,0,3.46,1.38,0.14,0,1.38,10.49095238,1468.733333,2.25,0.497,2.529411765,0.869918699,0.615,11.86,3.1274,4.012711864,1.059753954,0.632222222,36.33916667
sp23,feijao,17.5,96.5,1.32,0,0.7,0,0.77,0.1,0.09,0.1,3.51,0.37,0.44,0.19,0.22,0.14,1.01,n,0.14,0.48,0.027,0.051,0.0554,0.0817,0.1,0.08,0.1954,0.1793,0.58,0,0.32,0,0.12,0.07,21.868,NA,28.726,2.02,0,2.02,0.9,0.106666667,0,0.9,6.83375,728.9333333,0.96,0.218,2.703703704,0.568627451,0.51,5.74,0.8071,2.527075812,1.194614443,0.583571429,23.93833333
sp24,feijao,39.5,110,1.31,0,1.92,0,3.45,0.3,0.18,0.24,6.75,0.65,0.63,0.42,0.15,0.35,1.07,n,1.11,1.64,0.042,0.149,0.0229,0.1619,0.16,0.29,0.1304,0.3892,0.59,0,0.78,0,0.22,0.14,53.934,NA,38.485,3.23,0,3.23,1.37,0.26,0,1.37,6.914615385,1797.8,3.93,1.301,2.80952381,0.946308725,0.620833333,9.67,2.1848,4.694323144,1.403953057,0.462571429,17.49318182
sp25,feijao,41.8,93,0.53,0,0.34,0,5.07,0.49,0.18,0.4,13.75,0.81,0.85,0.37,0.15,0.31,1.07,n,1.59,3.99,0.044,0.243,0.0254,0.1416,0.17,0.48,0.1326,0.3355,0.11,0,0.09,0,0.26,0.16,24.38,NA,67.908,0.87,0,0.87,0.2,0.03,0,0.2,27.08888889,812.6666667,5.74,1.877,2.863636364,0.975308642,0.6075,17,4.577,4.220472441,1.369350282,0.456774194,26.11846154
sp26,ipe,91,105,29.04,2.94,5.07,0.49,22.89,0.98,1.05,0.79,129.77,1.58,2.89,0.16,0.51,0.11,2.05,n,8.04,32.86,0.271,0.586,0.0762,0.0853,0.78,0.99,0.3968,0.1539,9.9,1,1.92,0.18,0.41,0.45,282.054,NA,52.238,34.11,3.43,37.54,11.82,0.64,1.18,13,14.6903125,9401.8,24.92,8.897,1.878228782,0.689419795,0.741772152,136.96,33.8815,4.207349081,0.804220399,0.775454545,12.74097561
sp27,ipe,59.5,98,19.36,3.03,3.77,0.39,10.41,0.66,0.98,0.5,79.3,1.02,2.23,0.59,2.68,0.47,1.06,n,4.2,23.7,0.278,0.398,0.4774,0.3312,0.76,0.67,1.9207,0.5798,6.88,1.11,1.44,0.15,0.28,0.48,212.941,NA,48.255,23.13,3.42,26.55,8.32,0.48,1.26,9.58,14.78756944,7098.033333,12.05,4.876,1.73381295,0.683417085,0.796,86.88,25.2686,3.023250943,0.750603865,0.704680851,17.23392857
