"","plot","div","cresc.altura_mean","cresc.nfol_mean","cresc.LA_mean","cresc.biomassa_mean","cresc.altura_sd","cresc.nfol_sd","cresc.LA_sd","cresc.biomassa_sd"
"39","41","1",-0.1515,1.9,16639.364,0.6232,0.326372002798228,3.5526120857165,31112.2134973874,1.16525676411501
"40","42","2",-0.0825,2.75,42051.59,1.53375,0.291192130976881,22.8832440257682,57493.5795222597,2.37826862293921
"41","43","2",0.0966666666666667,66.7,325501.4406845,11.6066666845,0.269301565783293,83.7258056175979,371216.014511875,13.7605673069026
"42","44","1",0.0115384615384616,72.2692307692308,387448.354615385,20.0908461538462,0.143099750040098,66.9146068910564,358741.252172194,18.6022607157137
"43","45","2",0.2464,57.56,282413.49414724,12.86373335252,0.286645541857303,88.3671696200952,369054.072085345,14.0042353100778
"44","46","8",0.098695652173913,120.909090909091,508259.392293682,22.303880293,0.287802083949529,214.355047946361,740469.809302077,33.7574747213591
"45","47","1",0.323461538461538,91.3076923076923,600930.62,33.7838461538462,0.419045986094054,120.104877246769,790455.837014343,44.4388045813047
"46","48","4",0.162666666666667,354.1,1431146.1910292,72.149511224,0.373186958168592,670.52040263129,2545588.31659838,139.849808398174
"47","49","8",-0.0055,52.2,174527.74767055,7.500133334,0.450981094247221,94.8192740788607,200056.432018405,8.57586080611177
"48","50","16",0.100384615384615,139.346153846154,462027.014597115,22.1062538658077,0.409501948901157,301.152445423602,990569.909846074,52.7177710759264
"49","51","2",0.0577777777777778,143.666666666667,843849.009644333,38.998296311,0.263297628218792,124.463772918993,684959.393719463,34.5415217141615
"50","52","1",0.413333333333333,29.4,258137.0959902,17.7772000098,0.190400580231209,24.8101361774348,217837.296053211,15.0018623502256
"51","53","2",0.283181818181818,543.954545454545,2045750.33225241,111.883272908591,0.465325143504506,717.339162478931,2764373.44486666,150.843806550618
"52","54","4",0.271176470588235,170.235294117647,991366.181176471,39.1060744601176,0.340218355489184,316.48944086094,1821132.19341232,69.6484289551825
"53","55","2",0.204615384615385,199.230769230769,948246.667692308,35.4363076448462,0.365344937116861,244.061520197318,1200302.69425168,45.3496793713168
"54","56","1",0.0959090909090909,9.72727272727273,56335.3054545455,2.13351514827273,0.257268788307539,42.5543706201191,246452.786359008,9.33359194182801
"55","57","2",-0.202727272727273,6.90909090909091,52184.4612137273,1.92248485009091,0.345632490055287,15.8016109650538,111899.614285312,4.09036235890305
"56","59","8",-0.13,35.1666666666667,115418.02778725,5.4901111105,0.450938415468736,105.406428416464,343796.997933684,15.8768114687953
"57","60","1",0.23375,87.8125,190974.625,6.498125,0.244182308941496,101.803221134369,221401.645323027,7.53343836394334
"58","61","2",0.0186666666666667,8.53333333333333,69894.8133342667,2.59920000093333,0.211992812097374,18.0391109484233,142994.624673664,5.30289693596961
"59","62","1",-0.0900000000000001,-7,-44947.77,-1.6331,NA,NA,NA,NA
"60","64","2",0.210344827586207,177.275862068966,1020307.89931034,38.7545976425172,0.27529831558071,393.278063802166,2273946.90152033,86.1426595175914
"61","65","1",0.1465,50.15,365007.748,11.033,0.298104096972147,41.7502284897624,303871.523021607,9.18505026774773
"62","66","1",0.138076923076923,157.576923076923,912603.598461538,34.5618717423462,0.289883000271064,313.054905481696,1813051.22399913,68.6633758313004
"63","67","4",0.1445,-5.4,-38955.2703318,-2.6676633318,0.201872158607998,32.6196582640462,185990.075915683,11.2400909822355
"64","68","4",0.234827586206897,102.862068965517,252092.057241759,9.99358621372414,0.370921831288087,299.867914272021,1056080.23942395,39.0816343112985
"65","69","1",0.071304347826087,74.2173913043478,318271.386981261,12.072695676913,0.210093147043835,86.1225113226602,369324.906834426,14.0092618705269
"66","71","16",0.0415384615384615,198.384615384615,779405.391761846,39.6898462223846,0.220183489914138,397.739558518205,1546789.57745856,81.3792934198703
"67","72","2",0.175,49.4166666666667,287352.321666667,10.861905539,0.34788974219898,94.7220415294938,547896.748030969,20.7618563655439
"68","73","2",0.125555555555556,324.555555555556,1298092.73397289,71.1119260271111,0.576492663309494,277.065764591183,1073270.24230931,58.7554139959573
"69","74","2",0.96,48,55907.52,6.0768,NA,NA,NA,NA
"70","75","4",0.1412,91.76,376578.91250032,19.6942133612,0.367597152691185,172.081686029242,656289.705318631,35.466539654091
"71","76","4",0.0836842105263158,334.052631578947,1280674.02452237,63.6461755499474,0.236624656513592,374.38163441485,1480699.46227455,77.5995232825017
"72","77","1",0.352666666666667,5,5823.7,0.633,0.471933207542076,17.5132602822629,20398.3947811628,2.21717875173448
"73","78","2",0.145714285714286,290.071428571429,1189496.64562739,65.2702858011786,0.474610394381567,433.404688874756,1716145.18936615,94.0630754620274
"74","79","8",0.251818181818182,170.363636363636,680142.581466273,36.4163485350909,0.458295354585481,398.651721186796,1525740.80050852,83.4313746542675
"75","80","4",0.0603846153846154,229.615384615385,877353.628654231,47.0392308457692,0.357664432329867,428.776499068974,1640071.18827013,89.6457787150037
"76","81","4",-0.0958823529411765,85.3529411764706,252270.470793412,12.9668176470588,0.390449401707978,103.063051803538,287393.458582304,14.9137447465516
"77","82","1",0.0614285714285714,-3.0952380952381,-13273.5158740476,-0.503492064523809,0.183228974626987,30.9142439045576,132571.613095813,5.02871701877945
"78","83","1",-0.1305,13.0909090909091,34781.3236407273,1.75418181818182,0.268538859474042,21.7647795234785,57826.987821715,2.91648045614612
"79","85","8",-0.1475,32.875,118574.020837125,5.54154166875,0.350818091513726,70.2726831706318,181668.49949145,7.34773930958817
"80","86","4",0.190625,14.125,91129.6512510625,5.5793500010625,0.240844867082527,28.30753727661,180049.751308582,10.4457099520697
"81","87","2",0.2055,70.85,148470.708,5.0823,0.310644067772274,121.046870000187,274528.434923032,9.2620820502338
