plot,div,especie,sci_sp,abrev,comp
50,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
50,16,mofumbu,Combretum leprosum,CombLepr,ccc
50,16,mororo,Bauhinha cheilanta,BauChei,ccc
50,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
71,16,angico,Anandenanthera colubrina,AnanCol,ccc
71,16,burra,Sebastiania macrocarpa,SebMac,ccc
71,16,cating,Poincianella gardneriana,Poingard,ccc
71,16,feijao,Cynophala hastata,CynoHas,ccc
71,16,imbira,Pseudobombax marginatum,PseuMar,ccc
71,16,imburana,Commiphora leptophloeos,ComLepto,ccc
71,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
71,16,juca,Libidibia ferrea,LibFerr,ccc
71,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
71,16,mofumbu,Combretum leprosum,CombLepr,ccc
71,16,mororo,Bauhinha cheilanta,BauChei,ccc
71,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
95,16,algodao,Cochlospermum vitifolium,CochVit,ccc
95,16,angico,Anandenanthera colubrina,AnanCol,ccc
95,16,burra,Sebastiania macrocarpa,SebMac,ccc
95,16,cumaru,Amburana cearensis,AmbCear,ccc
95,16,feijao,Cynophala hastata,CynoHas,ccc
95,16,imbira,Pseudobombax marginatum,PseuMar,ccc
95,16,imburana,Commiphora leptophloeos,ComLepto,ccc
95,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
95,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
95,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
95,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
95,16,mororo,Bauhinha cheilanta,BauChei,ccc
95,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
108,16,algodao,Cochlospermum vitifolium,CochVit,ccc
108,16,angico,Anandenanthera colubrina,AnanCol,ccc
108,16,burra,Sebastiania macrocarpa,SebMac,ccc
108,16,cating,Poincianella gardneriana,Poingard,ccc
108,16,feijao,Cynophala hastata,CynoHas,ccc
108,16,imbira,Pseudobombax marginatum,PseuMar,ccc
108,16,imburana,Commiphora leptophloeos,ComLepto,ccc
108,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
108,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
108,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
108,16,juca,Libidibia ferrea,LibFerr,ccc
108,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
108,16,mofumbu,Combretum leprosum,CombLepr,ccc
108,16,mororo,Bauhinha cheilanta,BauChei,ccc
108,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
112,16,algodao,Cochlospermum vitifolium,CochVit,ccc
112,16,angico,Anandenanthera colubrina,AnanCol,ccc
112,16,burra,Sebastiania macrocarpa,SebMac,ccc
112,16,cating,Poincianella gardneriana,Poingard,ccc
112,16,cumaru,Amburana cearensis,AmbCear,ccc
